,State/UT,"Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT Act",Fake Profile (IT Act r/w IPC/SLL),Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL),Cyber Stalking/ Bullying (Sec.354D IPC),Internet Crimes through Online Games etc (Sec.305 IPC),Other Crimes against Children,Total Cyber crimes against Children,Year
1,Andhra Pradesh,0,0,0,1,0,0,1,2017
2,Arunachal Pradesh,0,0,0,0,0,0,0,2017
3,Assam,0,0,0,0,0,1,1,2017
4,Bihar,0,0,0,0,0,0,0,2017
5,Chhattisgarh,0,3,0,0,0,1,4,2017
6,Goa,0,0,0,0,0,2,2,2017
7,Gujarat,0,0,0,1,0,3,4,2017
8,Haryana,0,0,0,0,0,0,0,2017
9,Himachal Pradesh,0,0,1,0,0,0,1,2017
10,Jammu & Kashmir,0,0,0,0,0,1,1,2017
11,Jharkhand,0,0,0,0,0,0,0,2017
12,Karnataka,0,0,0,0,0,0,0,2017
13,Kerala,0,0,0,0,0,0,0,2017
14,Madhya Pradesh,0,0,1,1,0,3,5,2017
15,Maharashtra,1,0,1,3,0,22,27,2017
16,Manipur,0,0,0,0,0,2,2,2017
17,Meghalaya,0,0,0,0,0,0,0,2017
18,Mizoram,0,0,0,0,0,0,0,2017
19,Nagaland,0,0,0,0,0,0,0,2017
20,Odisha,0,0,0,0,0,0,0,2017
21,Punjab,0,0,1,0,0,3,4,2017
22,Rajasthan,0,0,1,1,0,4,6,2017
23,Sikkim,0,0,0,0,0,0,0,2017
24,Tamil Nadu,0,0,1,0,0,2,3,2017
25,Telangana,0,0,0,0,0,0,0,2017
26,Tripura,0,0,0,0,0,0,0,2017
27,Uttar Pradesh,0,0,1,0,0,2,3,2017
28,Uttarakhand,0,0,0,0,0,0,0,2017
29,West Bengal,0,0,0,0,0,19,19,2017
30,A&N Islands,0,0,0,0,0,0,0,2017
31,Chandigarh,0,0,0,0,0,0,0,2017
32,D&N Haveli,0,0,0,0,0,0,0,2017
33,Daman & Diu,0,0,0,0,0,0,0,2017
34,Delhi,0,0,0,0,0,5,5,2017
35,Lakshadweep,0,0,0,0,0,0,0,2017
36,Puducherry,0,0,0,0,0,0,0,2017
