,State/UT,"Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT Act",Fake Profile (IT Act r/w IPC/SLL),Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL),Cyber Stalking/ Bullying (Sec.354D IPC r/w IT Act),Internet Crimes through Online Games etc (Sec.305 IPC r/w IT Act),Other Cyber Crimes against Children,Total Cyber crimes against Children,Year
1,Andhra Pradesh,0,0,2,3,0,4,9,2019
2,Arunachal Pradesh,0,0,0,0,0,1,1,2019
3,Assam,0,0,6,0,0,1,7,2019
4,Bihar,0,0,0,0,0,0,0,2019
5,Chhattisgarh,1,0,3,0,0,1,5,2019
6,Goa,0,0,0,0,0,1,1,2019
7,Gujarat,0,0,1,1,0,5,7,2019
8,Haryana,0,0,3,2,0,0,5,2019
9,Himachal Pradesh,0,0,8,0,0,1,9,2019
10,Jammu & Kashmir,0,0,0,0,0,0,0,2019
11,Jharkhand,0,0,0,0,0,0,0,2019
12,Karnataka,0,0,2,0,0,8,10,2019
13,Kerala,0,0,27,0,0,3,30,2019
14,Madhya Pradesh,0,0,8,3,0,9,20,2019
15,Maharashtra,2,1,6,28,1,32,70,2019
16,Manipur,0,0,1,0,0,0,1,2019
17,Meghalaya,0,0,0,0,0,0,0,2019
18,Mizoram,0,0,0,0,0,1,1,2019
19,Nagaland,0,0,0,0,0,0,0,2019
20,Odisha,0,0,2,2,0,1,5,2019
21,Punjab,0,0,1,0,0,0,1,2019
22,Rajasthan,0,0,3,0,0,6,9,2019
23,Sikkim,0,0,0,0,0,0,0,2019
24,Tamil Nadu,0,0,3,0,0,2,5,2019
25,Telangana,0,0,0,3,0,0,3,2019
26,Tripura,0,0,0,0,0,0,0,2019
27,Uttar Pradesh,0,0,25,1,0,72,98,2019
28,Uttarakhand,0,0,0,0,0,0,0,2019
29,West Bengal,0,0,0,1,0,4,5,2019
30,A&N Islands,0,0,0,0,0,0,0,2019
31,Chandigarh,0,0,0,0,0,0,0,2019
32,D&N Haveli,0,0,0,0,0,0,0,2019
33,Daman & Diu,0,0,0,0,0,0,0,2019
34,Delhi,0,0,1,1,0,1,3,2019
35,Lakshadweep,0,0,0,0,0,0,0,2019
36,Puducherry,0,0,0,0,0,0,0,2019
