,State/UT,"Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT
Act",Fake Profile (IT Act r/w IPC/SLL),Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL),"Cyber Stalking/ Bullying (Sec.354D
IPC r/w IT Act)","Internet Crimes through Online Games etc (Sec.305 IPC
r/w IT Act)",Other Cyber Crimes against Children,Total Cyber crimes against Children,Year
1,Andhra Pradesh,1,0,15,32,0,4,52,2020
2,Arunachal Pradesh,0,0,0,0,0,0,0,2020
3,Assam,0,0,21,0,0,24,45,2020
4,Bihar,0,0,1,0,0,0,1,2020
5,Chhattisgarh,0,1,3,3,0,14,21,2020
6,Goa,0,0,0,0,0,3,3,2020
7,Gujarat,0,0,1,4,0,27,32,2020
8,Haryana,0,0,16,2,0,15,33,2020
9,Himachal Pradesh,0,0,17,0,0,2,19,2020
10,Jharkhand,0,0,0,0,0,4,4,2020
11,Karnataka,0,0,122,0,0,22,144,2020
12,Kerala,0,0,101,3,0,22,126,2020
13,Madhya Pradesh,0,0,20,6,0,13,39,2020
14,Maharashtra,1,0,123,69,0,14,207,2020
15,Manipur,0,0,3,0,0,0,3,2020
16,Meghalaya,0,0,0,0,0,0,0,2020
17,Mizoram,0,0,0,0,0,0,0,2020
18,Nagaland,0,0,0,0,0,0,0,2020
19,Odisha,0,0,71,0,0,0,71,2020
20,Punjab,0,0,8,0,0,2,10,2020
21,Rajasthan,0,0,6,1,0,17,24,2020
22,Sikkim,0,0,0,0,0,0,0,2020
23,Tamil Nadu,0,0,28,0,0,7,35,2020
24,Telangana,1,0,7,1,0,0,9,2020
25,Tripura,0,0,0,0,0,0,0,2020
26,Uttar Pradesh,0,0,161,14,0,22,197,2020
27,Uttarakhand,0,0,11,0,0,0,11,2020
28,West Bengal,0,0,0,2,0,4,6,2020
29,A&N Islands,0,0,1,0,0,0,1,2020
30,Chandigarh,0,0,1,0,0,2,3,2020
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0,2020
32,Delhi,0,0,1,3,0,1,5,2020
33,Jammu & Kashmir,0,0,0,0,0,1,1,2020
34,Ladakh,0,0,0,0,0,0,0,2020
35,Lakshadweep,0,0,0,0,0,0,0,2020
36,Puducherry,0,0,0,0,0,0,0,2020
